k,P0_single,P0_geometric,P2_single,P2_geometric,P4_single,P4_geometric,fractional_difference_P0,fractional_difference_P2,fractional_difference_P4
0.27986111111111112,2766.4709527095461,2748.2997120157397,1575.2293111371241,1575.7619003030402,169.75115392005097,217.53173284224624,-0.0065683829703720555,0.00033810262553558899,0.28147425109521712
0.28187499999999999,2738.4710161609573,2720.7463986611692,1551.9094810153431,1554.3108975314447,166.03934705523403,214.8812236344437,-0.0064724502816305585,0.001547394706636128,0.29415844765374866
0.28388888888888891,2710.9597473608137,2693.6909762985824,1528.7819052970356,1533.0673245500116,162.37727884156709,212.26659893223314,-0.0063699843123981668,0.002803159324510294,0.30724323283766497
0.28590277777777778,2683.9181620107183,2667.1148272260421,1505.831831233372,1512.015157243161,158.76642910744391,209.68720072918165,-0.0062607478210467042,0.0041062526913941202,0.32072757388325157
0.28791666666666665,2657.3241464062858,2640.9961553616945,1483.0453280075039,1491.1390120895298,155.20844498662962,207.1423934890397,-0.0061445236429559921,0.00545747586346528,0.33460774964199869
0.28993055555555558,2631.1563486592713,2615.3138321532274,1460.4088989722393,1470.4237480405895,151.7052801367488,204.63185116746098,-0.0060211231894739415,0.0068575650801622713,0.34887758015412246
0.29194444444444445,2605.3941089163745,2590.0473294274561,1437.9095265678029,1449.8545155089394,148.25921896077512,202.1555786310372,-0.0058903869615723409,0.0083071909048744955,0.36352788074865972
0.29395833333333332,2580.0173966120983,2565.1766591194364,1415.5347194950164,1429.4168072136863,144.87289438562476,199.71392697206085,-0.0057521850481123647,0.0098069567121760806,0.37854584751002096
0.29597222222222225,2555.0067542707329,2540.6823194090812,1393.2725611808696,1409.0965099894233,141.54929947150521,197.30760303672861,-0.0056064176103285211,0.011357396427259085,0.39391437310820399
0.29798611111111112,2530.3434467016004,2516.5453957767413,1371.1130887474308,1388.8813415869752,138.29160800935045,194.93764595733711,-0.0054530348213581098,0.012958998776517001,0.40961298204122831
0.29999999999999999,2506.0113835204029,2492.7490283589714,1349.0611157172386,1368.7742680886895,135.10121562927839,192.60499443709682,-0.0052922166469973409,0.014612497641346821,0.42563479936117271
