k,mu,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean
0.056319444444444443,0.5,25902.633487733463,17885.066576214307,12358.581514392832,17891.892225127991,-0.00038149396541176106,1
0.056319444444444443,1,41485.828797202288,31190.630367858797,23487.635377944986,31215.445217720946,-0.00079495421862707527,1
0.058333333333333334,0,21010.156519372209,13881.576599111999,9171.5346973433243,13881.476128785305,7.237726432185454e-06,1
0.058333333333333334,0.5,25302.313692867196,17455.235168245701,12051.778772076699,17462.470817387853,-0.00041435425821567673,1
0.058333333333333334,1,40485.608518850553,30401.164606221409,22867.02678630469,30426.723360565808,-0.0008400100806622568,1
0.060347222222222226,0,20556.324756101887,13571.721245029887,8960.4732428680545,13571.823678074998,-7.5474783302054149e-06,1
0.060347222222222226,0.5,24741.697949607282,17053.223944775775,11764.432461767308,17060.833347688545,-0.00044601589838522138,1
0.060347222222222226,1,39550.723559963975,29661.962668449669,22285.016599671399,29688.188409918377,-0.00088337291270845775,1
0.06236111111111111,0,20121.481003433521,13274.604890834971,8757.9299673290225,13274.883105587487,-2.0957981347380361e-05,1
0.06236111111111111,0.5,24204.466303074132,16667.67509412107,11488.636706012361,16675.62052875205,-0.0004764701030033347,1
0.06236111111111111,1,38656.197229236095,28954.053092765844,21727.190524262274,28980.865448482935,-0.00092517443154871426,1
0.064375000000000002,0,19693.440017687077,12982.121930426052,8558.5129255707598,12982.548322279694,-3.284346362952828e-05,1
0.064375000000000002,0.5,23676.213081593596,16288.577380886634,11217.432880131844,16296.819662083633,-0.00050576010337621824,1
0.064375000000000002,1,37780.381016851024,28261.022430693702,21181.100454195846,28288.337623757874,-0.00096559908989601873,1
0.066388888888888886,0,19262.256875972333,12687.6685761599,8357.8370486842177,12688.215168386525,-4.3078732459345126e-05,1
0.066388888888888886,0.5,23145.281384680762,15907.847692747151,10945.215000359176,15916.346345789974,-0.00053395753385776512,1
0.066388888888888886,1,36906.171413428085,27569.939853178133,20636.967329003921,27597.671164385119,-0.0010048424391247979,1
0.068402777777777771,0,18820.409954400551,12386.261679985359,8152.6012839486575,12386.900272412224,-5.1553852281172041e-05,1
0.068402777777777771,0.5,22602.947585688838,15519.454110679455,10667.811756827954,15528.167631551942,-0.00056114289072850543,1
0.068402777777777771,1,36021.134979330607,26871.438563778858,20087.732808940695,26899.496927258337,-0.0010430813466643096,1
0.070416666666666669,0,18362.575975844273,12074.386761030799,7940.485928055421,12075.089073751795,-5.816211513687275e-05,1
0.070416666666666669,0.5,22043.133471388861,15119.212050118871,10382.342185052548,15128.098179571165,-0.00058739237059513005,1
0.070416666666666669,1,35116.975910503315,26159.303054697528,19528.739445291529,26187.59768789032,-0.001080459289546698,1
0.072430555555555554,0,17886.28272132271,11750.430013934643,7720.4385857594807,11751.167911212186,-6.2793526832138902e-05,1
0.072430555555555554,0.5,21463.145680672671,14705.294605928108,10087.568040627995,14714.310803421833,-0.00061275024118889743,1
0.072430555555555554,1,34190.501529273213,25431.194185192926,18958.27555630841,25459.633724787669,-0.0011170443338724967,1
0.074444444444444438,0,17390.85939230747,11413.976462363813,7492.2048066083462,11414.722087291304,-6.5321338687751584e-05,1
